job_id,job_title,category,course_title,skills
3900085113,human resources manager bilingual spanish,hr,beginner to pro in powerpoint complete powerpoint training,"ai, c, erp, powerpoint, r, training"
3900085113,human resources manager bilingual spanish,hr,how to create amazing cinemagraphs with microsoft powerpoint,"ap, c, erp, microsoft, microsoft powerpoint, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,logo design in powerpoint,"design, erp, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,business card design in powerpoint,"ar, c, ca, design, erp, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,flat icon design in powerpoint,"c, design, erp, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,facebook covers in powerpoint,"c, erp, fa, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,drawing in powerpoint block diagram experiments cartoon,"ar, c, ca, erp, experiment, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,logo design made easy create your own logo in powerpoint,"c, design, erp, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,book covers and graphic design with powerpoint 2013 2016 365,"ap, c, design, erp, graphic design, phi, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,make your own great designs in powerpoint quick easy,"c, design, erp, make, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,create kindle ebook covers with powerpoint,"c, erp, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,plantillas powerpoint para publicar en mercadolibre y ebay,"ar, c, ca, erp, lan, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,basic graphic design for powerpoint,"ap, c, design, erp, graphic design, phi, powerpoint, r"
3900085113,human resources manager bilingual spanish,hr,how to design professional powerpoint business presentation,"design, erp, powerpoint, presentation, r"
3900085113,human resources manager bilingual spanish,hr,self advertise using powerpoint twitter and facebook on ios,"c, erp, fa, ios, powerpoint, r"
3899544157,vice president human resources,hr,financial modeling build a dcf equity valuation model,"c, cia, equity, financial modeling, modeling, uat, valuation"
3899544157,vice president human resources,hr,"how to fund your million dollar idea equity, debt, unfund","ar, equity, r"
3899544157,vice president human resources,hr,advanced stock options for serious equity investors,"c, equity, r"
3899544157,vice president human resources,hr,investment crowdfunding 101 a k a equity crowdfunding,"c, equity, r, wd"
3899544157,vice president human resources,hr,introduction to equity markets,"ar, c, equity, r"
3899544157,vice president human resources,hr,cfa level i workshop 4 fixed income and equity,"c, cfa, equity, fa, fixed income, r"
3899544157,vice president human resources,hr,how to invest in russian equity market,"ar, equity, r"
3899544157,vice president human resources,hr,introduction to the world of equity finance,"c, equity, finance, r"
3899544157,vice president human resources,hr,equity swaps,"ap, equity, equity swaps, waps"
3899544157,vice president human resources,hr,level 1 2014 cfa program equity investments,"c, cfa, equity, fa, r"
3899544157,vice president human resources,hr,basics of private equity,"c, equity, private equity, r"
3899544157,vice president human resources,hr,corporate finance 101 equity valuation,"c, corporate finance, equity, finance, r, uat, valuation"
3899544157,vice president human resources,hr,forex top equity management strategy,"equity, management, r, strategy"
3899544157,vice president human resources,hr,equity products,"c, equity, r"
3884912913,human resources business partner,hr,beginner to pro in powerpoint complete powerpoint training,"ai, c, erp, powerpoint, r, training"
3884912913,human resources business partner,hr,how to create amazing cinemagraphs with microsoft powerpoint,"ap, c, erp, microsoft, microsoft powerpoint, powerpoint, r"
3884912913,human resources business partner,hr,logo design in powerpoint,"design, erp, powerpoint, r"
3884912913,human resources business partner,hr,business card design in powerpoint,"ar, c, ca, design, erp, powerpoint, r"
3884912913,human resources business partner,hr,flat icon design in powerpoint,"c, design, erp, powerpoint, r"
3884912913,human resources business partner,hr,facebook covers in powerpoint,"c, erp, fa, powerpoint, r"
3884912913,human resources business partner,hr,drawing in powerpoint block diagram experiments cartoon,"ar, c, ca, erp, experiment, powerpoint, r"
3884912913,human resources business partner,hr,logo design made easy create your own logo in powerpoint,"c, design, erp, powerpoint, r"
3884912913,human resources business partner,hr,book covers and graphic design with powerpoint 2013 2016 365,"ap, c, design, erp, graphic design, phi, powerpoint, r"
3884912913,human resources business partner,hr,make your own great designs in powerpoint quick easy,"c, design, erp, make, powerpoint, r"
3884912913,human resources business partner,hr,create kindle ebook covers with powerpoint,"c, erp, powerpoint, r"
3884912913,human resources business partner,hr,plantillas powerpoint para publicar en mercadolibre y ebay,"ar, c, ca, erp, lan, powerpoint, r"
3884912913,human resources business partner,hr,basic graphic design for powerpoint,"ap, c, design, erp, graphic design, phi, powerpoint, r"
3884912913,human resources business partner,hr,how to design professional powerpoint business presentation,"design, erp, powerpoint, presentation, r"
3884912913,human resources business partner,hr,self advertise using powerpoint twitter and facebook on ios,"c, erp, fa, ios, powerpoint, r"
3898176212,vice president human resources,hr,financial modeling build a dcf equity valuation model,"c, cia, equity, financial modeling, modeling, uat, valuation"
3898176212,vice president human resources,hr,"how to fund your million dollar idea equity, debt, unfund","ar, equity, r"
3898176212,vice president human resources,hr,advanced stock options for serious equity investors,"c, equity, r"
3898176212,vice president human resources,hr,investment crowdfunding 101 a k a equity crowdfunding,"c, equity, r, wd"
3898176212,vice president human resources,hr,introduction to equity markets,"ar, c, equity, r"
3898176212,vice president human resources,hr,cfa level i workshop 4 fixed income and equity,"c, cfa, equity, fa, fixed income, r"
3898176212,vice president human resources,hr,how to invest in russian equity market,"ar, equity, r"
3898176212,vice president human resources,hr,introduction to the world of equity finance,"c, equity, finance, r"
3898176212,vice president human resources,hr,equity swaps,"ap, equity, equity swaps, waps"
3898176212,vice president human resources,hr,level 1 2014 cfa program equity investments,"c, cfa, equity, fa, r"
3898176212,vice president human resources,hr,basics of private equity,"c, equity, private equity, r"
3898176212,vice president human resources,hr,corporate finance 101 equity valuation,"c, corporate finance, equity, finance, r, uat, valuation"
3898176212,vice president human resources,hr,forex top equity management strategy,"equity, management, r, strategy"
3898176212,vice president human resources,hr,equity products,"c, equity, r"
3901635742,human resources director,hr,financial modeling build a dcf equity valuation model,"c, cia, equity, financial modeling, modeling, uat, valuation"
